name,cnpj,trade_name,country,status,org_type
DEPARTAMENTO ESTADUAL DE SERVICOS GRAFICOS DE SERGIPE - DEGRASE,07205153000114,,BR,,government
FUNDO MUNICIPAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL DE MACAE,07207108000107,,BR,,government
MUNICIPIO DE ITANHANGA,07209225000100,,BR,,government
MUNICIPIO DE ITANHANGA,07209225000282,,BR,,government
SECRETARIA MUNICIPAL DE EDUCACAO,07209390000153,,BR,,government
CONSORCIO INTERMUNICIPAL PRO ESTRADA O FUTURO E AGORA,07210405000101,,BR,,government
INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DE CANTAGALO,07210550000184,,BR,,government
COLEGIO MUNICIPAL PREFEITO ABEILARD PEREIRA,07211393000121,,BR,,government
SERVICO AUTONOMO DE AGUA E SANEAMENTO DO MUNICIPIO DE CORONEL JOAO PESSOA,07213976000191,,BR,,government
FUNDO MUNICIPAL DE DEFESA DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE FEIRA NOVA,07214379000181,,BR,,government
CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DO AMAPA - CRMV/AP,07217693000118,,BR,,government
MUNICIPIO DE AROEIRAS DO ITAIM - SECRETARIA DE SAUDE E SANEAMENTO,07218763000152,,BR,,government
FUNDACAO CULTURAL DO MUNICIPIO DE PORTO VELHO,07219320000186,,BR,,government
CAMARA MUNICIPAL DE VEREADORES DE IPIRANGA DO NORTE,07221699000169,,BR,,government
ASSOCIACAO DA COMUNIDADE DE REMANESCENTES DE QUILOMBOS ARIRAMBA - ACORQA,07223070000158,,BR,,government
CAMARA MUNICIPAL DE DIVISA NOVA - MG,07226055000163,,BR,,government
CAMARA MUNICIPAL DE OEIRAS DO PARA - CMOP,07228952000106,,BR,,government
SECRETARIA DE ESTADO DA GESTAO ESTRATEGICA E DA MODERNIZACAO ADMINISTRATIVA,07232111000172,,BR,,government
FUNDO MUN DE GESTAO DOS RECURSOS DO FUNDEB DE ORIZONA,07233863000158,,BR,,government
FUNDO MUNICIPAL DE SAUDE DE CONCORDIA DO PARA,07234361000141,,BR,,government
FORUM DA COMARCA DE TABAPORA,07236137000199,,BR,,government
INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE VILA VELHA (ES)- IPVV,07238345000127,,BR,,government
AGENCIA DE SERVICOS PUBLICOS DE ENERGIA DO ESTADO DO ESPIRITO SANTO - ASPE,07238404000167,,BR,,government
MUNICIPIO DE COCAL DE TELHA - SECRETARIA MUNICIPAL DE ASSISTENCIA E PROMOCAO SOCIAL,07240180000128,,BR,,government
CORREGEDORIA DA JUSTICA,07240515000108,,BR,,government
INSTITUTO MUNICIPAL DE PREVIDENCIA DE PORTEL,07241142000190,,BR,,government
DIRETORIA DE ASSISTENCIA E PROMOCAO SOCIAL,07241330000118,,BR,,government
MUNICIPIO DE TAMBORIL DO PIAUI - CAMARA MUNICIPAL,07241853000164,,BR,,government
CONSORCIO DE MUNICIPIOS DA REGIAO CENTRAL - CONCEN,45080766000161,,BR,,government
"CONSORCIO INTERESTADUAL E INTERMUNICIPAL DE MUNICIPIOS DE SC, PR E RS, DE SEG. ALIMENTAR, ATENCAO A SANID. AGROP. E DESENVOLVIMENTO LOCAL-CONSAD",07242972000131,,BR,,government
FUNDO DE PREVIDENCIA DO MUNICIPIO DE SIQUEIRA CAMPOS,07243572000140,,BR,,government
MUNICIPIO DE QUEIMADA NOVA - SECRETARIA DE EDUCACAO,07248518000198,,BR,,government
FUNDACAO MUNICIPAL DE SAUDE E HOSPITALIDADE,07248984000173,,BR,,government
FUNDACAO MUNICIPAL DE CULTURA,07252975000156,,BR,,government
FUNDO MUNICIPAL DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE GUAIRA,07253706000104,,BR,,government
CONSELHO MUNICIPAL DO IDOSO DE RIBEIRAO CLARO,07255290000163,,BR,,government
FUNDO MUNICIPAL DE CULTURA,51431780000165,,BR,,government
INSTITUTO DE PREVIDENCIA MUNICIPAL DE MATO VERDE,07256021000111,,BR,,government
INSTITUTO TECNOLOGICO E DE PESQUISAS DO ESTADO DE SERGIPE,07258529000159,,BR,,government
CANAA-PREVI,07259759000132,,BR,,government
FUNDO DE SEGURANCA PUBLICA E DEFESA SOCIAL DO ESTADO DO CEARA - FSPDS,07261661000110,,BR,,government
HOSPITAL MUNICIPAL DE PRONTO SOCORRO DEPUTADO NELSON MARCHEZAN,07264993000158,,BR,,government
"SECRETARIA MUNICIPAL DE ESPORTE, LAZER E JUVENTUDE",07265256000170,,BR,,government
FUNDACAO MUNICIPAL DO DESPORTO E LAZER DO MUNICIPIO DE ARIQUEMES - FUMDEL,07265907000121,,BR,,government
ADMINISTRACAO REGIONAL DO JARDIM BOTANICO - RA XXVII,07266625000149,,BR,,government
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC,07271141000198,,BR,,government
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC,07271141000279,,BR,,government
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC,07271141000350,,BR,,government
