DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

231. RMY70 IMPEX SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
232. GOSPODARU LAND S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
233. VADTOOLS S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
234. ARDELEAN EMIL ÎNTREPRINDERE INDIVIDUALĂ | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
235. ANTELO INDUSTRY S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
236. STALINRICHTING S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
237. AGRICOLA EMMA S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
238. SEI-AGROEXPERT S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
239. GARDEN TECHNOLOGY S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
240. GEBO AGRO SERVICE & SALE S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0755-052706
241. APIUMNORD S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0726-252864
242. GOSPODARUL BISTRIŢA S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0757-815150
243. NEC BUSINESS S.R.L. | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0734359969
244. OSTAFI MARINELA ÎNTREPRINDERE INDIVIDUALĂ | BOTOŞANI | CAEN:4661 | 0744114031
245. SANSTEFANO-NABILCRIS SRL | BOTOŞANI | CAEN:4661 | 0752644197
246. TALPĂ CRISTIAN-FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ | BOTOŞANI | CAEN:4661 | 0734536733
247. TCF INDUSTRIAL TRUCK SRL | BOTOŞANI | CAEN:4661 | 
